1,HEMTs made on InAlAs substrate
2,from the time we spent 40 hours on this and still messed up
3,with my advisor Prof. Balkind
4,view from inside ArchLab (best in country imo)
5,two great friends from Barcelona Supercomputing Center were visiting
6,last time at SB Shellfish company (at least for a while)
7,bonfire
8,hot dogs hot dogs hot dogs!!!
9,hot springs hot springs hot springs!!!
10,ArchLab channel islands trip 2024
11,Flew from Texas to visit everyone
12,"Arigato Sushi, very good, very expensive"
